,Unnamed: 0,generated_caption,verbs_small_model,verbs_medium_model,verbs_large_model,is_same
99,99,a gnome with skulls and skulls,[],[],[],True
100,100,various beauty products,[],[],[],True
101,101,a person playing the piano,['play'],['play'],['play'],True
102,102,a bike wheel,[],[],[],True
103,103,chefs preparing food in a commercial kitchen,['prepare'],['prepare'],['prepare'],True
104,104,a young male graduate holding a diploma,['hold'],['hold'],['hold'],True
105,105,a bird perched on a branch,['perch'],['perch'],['perch'],True
106,106,a woman eating a plate of food,['eat'],['eat'],['eat'],True
107,107,a couple in a boat on a lake,[],[],[],True
108,108,a man in a supermarket,[],[],[],True
109,109,a group of wild boars in the woods,[],[],[],True
110,110,a woman's hand holding a red ruby and diamond ring,['hold'],['hold'],['hold'],True
111,111,a cartoon ice cream shop,[],[],[],True
112,112,two people walking down a road,['walk'],['walk'],['walk'],True
113,113,a bull skull with a blue floral background,[],[],[],True
114,114,a mouse eating popcorn,[],['eat'],['eat'],False
115,115,a tree in front of a building,[],[],[],True
116,116,hazel nuts,[],[],[],True
117,117,a group of people in costumes,[],[],[],True
118,118,a starfish in a jar,[],[],[],True
119,119,a person holding a om om om om om om om om om om om om,['hold'],['hold'],['hold'],True
120,120,a small cabin in the woods,[],[],[],True
121,121,a mother holding her baby,['hold'],['hold'],['hold'],True
122,122,a glass of milk,[],[],[],True
123,123,the mars rover in the martian land,[],[],[],True
124,124,a baby with a paco,[],[],[],True
125,125,a couple playing pool at the resort at sq creek,['play'],[],[],False
126,126,a cup of coffee,[],[],[],True
127,127,a piggygygygygygygygygygygygygygy,[],[],[],True
128,128,a gargon gargon gargon gargon gargon,[],[],[],True
129,129,a house with a blue roof,[],[],[],True
130,130,a green glass vase,[],[],[],True
131,131,a cow and its calf,[],[],[],True
132,132,a large yellow dump truck,[],[],[],True
133,133,a woman with short hair,[],[],[],True
134,134,a lang lang lang lang lang lang lang lang lang lang lang lang lang lang lang,[],[],[],True
135,135,a clown on a swing,[],[],[],True
136,136,a little girl eating ice cream,['eat'],['eat'],['eat'],True
137,137,a variety of children's clothing,[],[],[],True
138,138,a white car parked in a driveway,['park'],['park'],['park'],True
139,139,a mother and her daughter playing in a pond,['play'],['play'],['play'],True
140,140,a taxi car in a city,[],[],[],True
141,141,two gorillas playing,['play'],['play'],['play'],True
142,142,a cowboy at a table,[],[],[],True
143,143,people on a beach,[],[],[],True
144,144,a woman wearing a green necklace,['wear'],['wear'],['wear'],True
145,145,a snowboarder on a mountain,[],[],[],True
146,146,a stack of was with berries and blueberries,[],[],[],True
147,147,a kitchen with a variety of food items,[],[],[],True
148,148,women holding signs in protest,['hold'],['hold'],['hold'],True
149,149,a model wearing a grey rib knit sweater and black leather belt,"['wear', 'knit']","['wear', 'knit']","['wear', 'knit']",True
150,150,a clock,[],[],[],True
151,151,a pizza pizza with pepperoni and cheese,[],[],[],True
152,152,the interior of a space shuttle shuttle vehicle,[],[],[],True
153,153,a red plaid shirt and black leather belt,[],[],[],True
154,154,a dragon,[],[],[],True
155,155,a boy and girl pulling a sler in a snowy scene,['pull'],['pull'],['pull'],True
156,156,a bowl of noodles,[],[],[],True
157,157,a man fishing in a river,['fish'],['fish'],['fish'],True
158,158,a poster for the original doos show,[],['show'],[],False
159,159,a man shooting a deer,['shoot'],['shoot'],['shoot'],True
160,160,a wren wren wren wren wren wren wren wren wren wren wren wren wren wren wren,[],[],[],True
161,161,a boy flying a kite,['fly'],['fly'],['fly'],True
162,162,a pile of dried green tea,['dry'],['dry'],['dry'],True
163,163,a woman playing a saxophone,['play'],['play'],['play'],True
164,164,breads on display in a bakery,[],[],[],True
165,165,a snail and a mushroom,[],[],[],True
166,166,a woman working on a piece of wood,['work'],['work'],['work'],True
167,167,a female patient receiving a leg massage,['receive'],['receive'],['receive'],True
168,168,person in a hat and mustache,[],[],[],True
169,169,a pair of work gloves,[],[],[],True
170,170,pigs in a farm,[],[],[],True
171,171,a model wearing a white and purple feather headdre,['wear'],['wear'],['wear'],True
172,172,a silver bowl,[],[],[],True
173,173,a black man holding a pencil,['hold'],['hold'],['hold'],True
174,174,a bowl of red beans,[],[],[],True
175,175,the aquarium at the national aquarium in philadelphia,[],[],[],True
176,176,a group of people eating pizza,['eat'],['eat'],['eat'],True
177,177,a church,[],[],[],True
178,178,a man working at his desk,['work'],['work'],['work'],True
179,179,a bird eating on a branch,['eat'],['eat'],['eat'],True
180,180,a woman wearing a black and red caper,['wear'],['wear'],['wear'],True
181,181,a group of people playing chess,['play'],['play'],['play'],True
182,182,a nurse holding a baby,['hold'],['hold'],['hold'],True
183,183,a field with a tree in the background,[],[],[],True
184,184,a bathroom,[],[],[],True
185,185,a red wagon with a cow,[],[],[],True
186,186,a couple dancing at a wedding,['dance'],['dance'],['dance'],True
187,187,people holding champagne flutes and holding sparkle sticks,"['hold', 'hold']","['hold', 'hold']","['hold', 'hold']",True
188,188,a woman shopping in a supermarket,['shop'],['shop'],['shop'],True
189,189,a tiger in the wild,[],[],[],True
190,190,sliced red onions on a cutting board,['slice'],[],['slice'],False
191,191,a person holding a vinyl record,['hold'],['hold'],['hold'],True
192,192,a rabbit in the grass,[],[],[],True
193,193,a white plate with a black fork and knife,[],[],[],True
194,194,a red - winged blackbird perched on a branch,"['wing', 'perch']","['wing', 'perch']",['perch'],False
195,195,a rocky mma arena,[],[],[],True
196,196,a bull being attacked by a mata,['attack'],['attack'],['attack'],True
197,197,tools in a workshop,[],[],[],True
198,198,a red crab,[],[],[],True
199,199,a doctor,[],[],[],True
200,200,a machine,[],[],[],True
201,201,a pizza with shrimp and basil,[],[],[],True
202,202,a dog sniffing a pile of bacon,['sniff'],['sniff'],['sniff'],True
203,203,a child playing with play dough,['play'],['play'],['play'],True
204,204,a house in the cotham area of wiltshire,[],[],[],True
205,205,a pizza with mozzarella and basil,[],[],[],True
206,206,a cityscaing scene,['cityscae'],['cityscae'],['cityscae'],True
207,207,apples,[],[],[],True
208,208,a man holding a certificate,['hold'],['hold'],['hold'],True
209,209,a woman smiling in front of a tapestry,['smile'],['smile'],['smile'],True
210,210,a person in a winter outfit,[],[],[],True
211,211,a fantasy castle in the forest,[],[],[],True
212,212,"a couple in their home, looking at each other persons in the room",['look'],['look'],['look'],True
213,213,a bartender at a bar,[],[],[],True
214,214,a woman flexing her muscles,['flex'],['flex'],['flex'],True
215,215,a church,[],[],[],True
216,216,"a man selling fresh vegetables at a market in chiang, thailand",['sell'],['sell'],['sell'],True
217,217,dumbs,[],[],['dumbs'],False
218,218,a man riding a jet skimobile on a lake,['ride'],['ride'],['ride'],True
219,219,a woman's feet with pink and turquoise nail polish,['turquoise'],[],[],False
220,220,a young woman sitting on the floor in her messy room,['sit'],['sit'],['sit'],True
221,221,a woman using a laptop,['use'],['use'],['use'],True
222,222,a couple in a red convertible car with a parachute flying over the top,['fly'],['fly'],['fly'],True
223,223,a large rock being used for construction,['use'],['use'],['use'],True
224,224,a couple walking their dog along the river in amsterdam,['walk'],['walk'],['walk'],True
225,225,a car parked in front of a store,['park'],['park'],['park'],True
226,226,a woman and a child looking at a display of photos,['look'],['look'],['look'],True
227,227,a dentist chair in a dental room,[],[],[],True
228,228,a woman holding a bunch of fresh green vegetables,['hold'],['hold'],['hold'],True
229,229,a little girl holding a pot of flowers and a bird,['hold'],['hold'],['hold'],True
230,230,a diner room with a red and white diner table and a red and white retro,[],[],[],True
231,231,a woman looking at a calendar on a computer screen,['look'],['look'],['look'],True
232,232,a city at night,[],[],[],True
233,233,a bowl of macarone pasta,[],[],[],True
234,234,red and blue buttons,[],[],[],True
235,235,a wedding couple playing the organ in a church,['play'],['play'],['play'],True
236,236,a woman looking at the view from the top of a mountain,['look'],['look'],['look'],True
237,237,a dandel,[],[],[],True
238,238,a woman making a smoothie,['make'],['make'],['make'],True
239,239,a man digging on the beach,['dig'],['dig'],['dig'],True
240,240,a bowling ball and pins in a bowling alley,[],[],[],True
241,241,a little girl in a blue dress and hat standing in front of a brick building,[],['stand'],['stand'],False
242,242,a pattern of battery systems,[],[],[],True
243,243,many perfumes,[],[],[],True
244,244,a man wearing a sombrel,['wear'],['wear'],['wear'],True
245,245,a bride and groom kissing under a floral arch,[],['kiss'],['kiss'],False
246,246,the original west west gang by john glax,[],[],[],True
247,247,a red lobster on a rocky beach,[],[],[],True
248,248,a rodeo rodeo rider riding a white horse,['ride'],['ride'],['ride'],True
249,249,a sailor with a telescope,[],[],[],True
250,250,a vintage california carriage,[],[],[],True
251,251,a man with a cowboy hat and a lasser holding a lasser,['hold'],['hold'],['hold'],True
252,252,a man making a pot on a stove,['make'],['make'],['make'],True
253,253,the petrochemical industry in the united states,[],[],[],True
254,254,two young girls wearing pink leor leor leor leor leor leo,['wear'],['wear'],['wear'],True
255,255,a couple sitting in a hotel lobby,['sit'],['sit'],['sit'],True
256,256,a man sitting on the floor surrounded by bananas,"['sit', 'surround']","['sit', 'surround']","['sit', 'surround']",True
257,257,colorful candy balls,[],[],[],True
258,258,a horseshoe shaped earring,['shape'],['shape'],['shape'],True
259,259,a firefighter using a hose to exting a fire,"['use', 'exte']","['use', 'exte']","['use', 'exte']",True
260,260,people around a campfire,[],[],[],True
261,261,a man in a coat and hat walking through a doorway,['walk'],['walk'],['walk'],True
262,262,a man in a pharmacy,[],[],[],True
263,263,person wearing the tia tia tia tia tia tia tia tia tia tia tia tia tia,['wear'],['wear'],['wear'],True
264,264,a clown,[],[],[],True
265,265,three people dressed as santa and mrs claus,['dress'],['dress'],['dress'],True
266,266,a cinnamon bun on a white plate,[],[],[],True
267,267,a human brain,[],[],[],True
268,268,a woman in a colorful dress,[],[],[],True
269,269,a man working on a computer,['work'],['work'],['work'],True
270,270,a dog and a crocodile,[],[],[],True
271,271,a jeweller working on a necklace,['work'],['work'],['work'],True
272,272,a person walking in the rain,['walk'],['walk'],['walk'],True
273,273,a cassette player,[],[],[],True
274,274,a man doing a squat exercise in a gym,['do'],['do'],['do'],True
275,275,a tray of spaghetti and meatballs,[],[],[],True
276,276,a group of people playing darts,['play'],['play'],['play'],True
277,277,coca cans,[],[],[],True
278,278,a dog sitting in front of a mailbox,['sit'],['sit'],['sit'],True
279,279,a group of people eating food,['eat'],['eat'],['eat'],True
280,280,a poster for the film,[],[],[],True
281,281,a male athlete running on a track,['run'],['run'],['run'],True
282,282,a woman getting a facial massage,['get'],['get'],['get'],True
283,283,a surgeon operating a patient,['operate'],['operate'],['operate'],True
284,284,a gardener in the garden,[],[],[],True
285,285,a man watching a football game on a tv,['watch'],['watch'],['watch'],True
286,286,a pile of documents,[],[],[],True
287,287,"a vineyard in napa, california",[],[],[],True
288,288,a soap soap being washed in a hand,['wash'],['wash'],['wash'],True
289,289,a railroad track with a sign,[],[],[],True
290,290,a man in a hooded jacket walking through a graveyard,['walk'],['walk'],['walk'],True
291,291,a restaurant with a pink wallpaper and a yellow booth with plants,[],[],[],True
292,292,the moon taken by nasa astronauts,['take'],['take'],['take'],True
293,293,a person using a circular saw to cut a piece of wood,"['use', 'cut']","['use', 'cut']","['use', 'cut']",True
294,294,a red and white building with a sign that says'hardware hardware hardware hardware hardware,[],"[""says'hardware""]",[],False
295,295,a young boy petting a donkey,['pet'],['pet'],['pet'],True
296,296,a bride in a white wedding dress,[],[],[],True
297,297,people on the beach,[],[],[],True
298,298,a skating rink,[],[],[],True
299,299,a lion and a lioness eating a piece of meat,['eat'],['eat'],['eat'],True
300,300,a sunset over the rocks at the beach,[],[],[],True
301,301,a woman sitting at a desk writing,"['sit', 'write']","['sit', 'write']","['sit', 'write']",True
302,302,3d printers,[],[],[],True
303,303,a female athlete on a track,[],[],[],True
304,304,a sheep and a lamb in a field,[],[],[],True
305,305,two women in a field of flowers,[],[],[],True
306,306,a baby in a hospital room,[],[],[],True
307,307,a young man sitting on a wet street in the rain,['sit'],['sit'],['sit'],True
308,308,a rabbit peeking out of a cardboard box,['peek'],['peek'],['peek'],True
309,309,a smokestak,[],[],[],True
310,310,a baby washing in a bathroom,[],['wash'],[],False
311,311,a group of al lamas,[],[],[],True
312,312,a display of jewelry,[],[],[],True
313,313,a man in a forest,[],[],[],True
314,314,purple and white flowers with water droplets,[],[],[],True
315,315,a model wearing adidas's new track suit,['wear'],['wear'],['wear'],True
316,316,a fork fork forklift truck in a warehouse,[],[],[],True
317,317,coins,[],[],[],True
318,318,a man presenting a presentation on a large screen,['present'],['present'],['present'],True
319,319,a group of people in a field,[],[],[],True
320,320,a girl reading a book in her bedroom,['read'],['read'],['read'],True
321,321,legos,[],[],[],True
322,322,a pool in a tropical garden,[],[],[],True
323,323,a gi gi standing next to a tree,['stand'],['stand'],['stand'],True
324,324,a woman screaming on a city street,['scream'],['scream'],['scream'],True
325,325,a port,[],[],[],True
326,326,a woman standing on a rock overlooking a river,"['stand', 'overlook']","['stand', 'overlook']","['stand', 'overlook']",True
327,327,fresh red rasberries in a bowl,[],[],[],True
328,328,a woman sitting in the back of a car with a pile of chips,['sit'],['sit'],['sit'],True
329,329,a logging machine cutting a large tree,['cut'],['cut'],['cut'],True
330,330,a couple sitting in a living room,['sit'],['sit'],['sit'],True
331,331,a woman holding a mountain lion cub,['hold'],['hold'],['hold'],True
332,332,a cat,[],[],[],True
333,333,a dishwasher,[],[],[],True
334,334,a bowl of oats with berries and almonds,[],[],[],True
335,335,su su su su su su su su su su su su su su su su,[],[],[],True
336,336,a lumber man chops a log,['chop'],['chop'],['chop'],True
337,337,a pool room,[],[],[],True
338,338,a pair of shoes and a shoebrush,[],[],[],True
339,339,a woman writing on a tablet,['write'],['write'],['write'],True
340,340,a little boy wearing a crown of twigs,['wear'],['wear'],['wear'],True
341,341,a man in a suit and hat standing in front of a large oil tank,[],['stand'],['stand'],False
342,342,two women in a library,[],[],[],True
343,343,a bull and a bull in a bullfight,[],[],[],True
344,344,a golfer in a golf course,[],[],[],True
345,345,a woman doing laundry,['do'],['do'],['do'],True
346,346,a birthday cake with candles,[],[],[],True
347,347,gums and jelly worms,['worm'],[],[],False
348,348,a bride and groom kissing in the church,[],['kiss'],['kiss'],False
349,349,a woman in a white dress,[],[],[],True
350,350,a young girl writing on a notebook,['write'],['write'],['write'],True
351,351,a sailboat on a lake,[],[],[],True
352,352,a man holding a large pile of wood,['hold'],['hold'],['hold'],True
353,353,the cast of beauty and the beast at a tavern in disney's beauty and,[],[],[],True
354,354,a couple at the lighthouse,[],[],[],True
355,355,a girl reading a book in a forest,['read'],['read'],['read'],True
356,356,a young boy playing in the snow,['play'],['play'],['play'],True
357,357,a group of people playing pool,['play'],['play'],['play'],True
358,358,blue and white plates,[],[],[],True
359,359,a woman holding onions,['hold'],['hold'],['hold'],True
360,360,a bull in a bull ring,[],[],[],True
361,361,a blue and white tile with peacocks,[],[],[],True
362,362,a lion and a man drawing,['draw'],['draw'],['draw'],True
363,363,a person eating surii,['eat'],['eat'],['eat'],True
364,364,a little girl looking at her dresses in a closet,['look'],['look'],['look'],True
365,365,a man riding a motorcycle,['ride'],['ride'],['ride'],True
366,366,"person from the walking dead comic art, comic art, comic books, walking dead","['walk', 'walk']","['walk', 'walk']","['walk', 'walk']",True
367,367,a chef in a kitchen,[],[],[],True
368,368,a person wearing a backpack,['wear'],['wear'],['wear'],True
369,369,a green and yellow insect,[],[],[],True
370,370,a baby eating ice cream,['eat'],['eat'],['eat'],True
371,371,a group of students in a locker room,[],[],[],True
372,372,a boxer in a boxing ring,[],[],[],True
373,373,a table full of toy figures,[],[],[],True
374,374,a red kitchen background with lots of food,[],[],[],True
375,375,a bagpipe player at the scottish festival,[],[],[],True
376,376,a man carrying a large oval barbecue,['carry'],['carry'],['carry'],True
377,377,a woman in a sailor uniform,[],[],[],True
378,378,a volcano in the philippines,[],[],[],True
379,379,a woman running in a race,['run'],['run'],['run'],True
380,380,a little girl in a lavender field,[],[],[],True
381,381,a turtle swimming in the ocean,[],[],[],True
382,382,a woman walking along a river,['walk'],['walk'],['walk'],True
383,383,a chicken and some vegetables,[],[],[],True
384,384,a swamp monster in a swamp swamp monster,[],[],[],True
385,385,a blue bird flying in the air,['fly'],['fly'],['fly'],True
386,386,a farmer and his cow in front of a barn,[],[],[],True
387,387,a woman holding a spoole of thread,['hold'],['hold'],['hold'],True
388,388,a man holding a fish,['hold'],['hold'],['hold'],True
389,389,a woman's hand holding her wedding ring,['hold'],['hold'],['hold'],True
390,390,a man standing in a warehouse surrounded by wooden pallets,"['stand', 'surround']","['stand', 'surround']","['stand', 'surround']",True
391,391,a small dog,[],[],[],True
392,392,a guitar,[],[],[],True
393,393,a grim person holding a scr scr scr scr scr sc,['hold'],['hold'],['hold'],True
394,394,a gymnast,[],[],[],True
395,395,a woman playing golf,['play'],['play'],['play'],True
396,396,a woman applying her lashes,['apply'],['apply'],['apply'],True
397,397,two people playing tennis,['play'],['play'],['play'],True
398,398,a man riding a motorcycle down a dirt road,['ride'],['ride'],['ride'],True
399,399,a woman holding a white orchid,['hold'],['hold'],['hold'],True
400,400,a fire truck spraying water,['spray'],['spray'],['spray'],True
401,401,a teacher and a student in front of a blackboard,[],[],[],True
402,402,a collection of women's accessories,[],[],[],True
403,403,a group of people sitting on a deck,['sit'],['sit'],['sit'],True
404,404,a couple taking a picture,['take'],['take'],['take'],True
405,405,people in a subway station,[],[],[],True
406,406,hands holding clay,['hold'],['hold'],['hold'],True
407,407,honeys and honey jars,[],[],[],True
408,408,a woman holding a plate of food,['hold'],['hold'],['hold'],True
409,409,a man playing pool,['play'],['play'],['play'],True
410,410,a young boy dressed as a unicorn and a unicorn,['dress'],['dress'],['dress'],True
411,411,a boy with a backpack,[],[],[],True
412,412,a fire exting device,['exte'],['exte'],['exte'],True
413,413,a chef slicing a red onion,['slice'],['slice'],['slice'],True
414,414,a sail,[],[],[],True
415,415,a serving of chicken enchiza,[],[],[],True
416,416,a truck and a truck,[],[],[],True
417,417,a boy looking at bugs,['look'],['look'],['look'],True
418,418,two kids on a swing,[],[],[],True
419,419,a pigeon in a cage,[],[],[],True
420,420,a white bird on a white birdhouse in a garden,[],[],[],True
421,421,a woman in a bathroom,[],[],[],True
422,422,a fountain pen,[],[],[],True
423,423,a man looking through a mag glass with a magnix over a pile of,['look'],['look'],['look'],True
424,424,a woman in a field of red poppies,[],[],[],True
425,425,a man riding a motorcycle,['ride'],['ride'],['ride'],True
426,426,a couple eating a hamburger together,['eat'],['eat'],['eat'],True
427,427,monkeys in a cage,[],[],[],True
428,428,a police officer talking to a group of people,['talk'],['talk'],['talk'],True
429,429,a woman in a kitchen holding a mug,['hold'],['hold'],['hold'],True
430,430,a concert hall,[],[],[],True
431,431,a gnome reading a book in the forest,['read'],['read'],['read'],True
432,432,a woman sitting in a chair in a room with a yellow and black theme,['sit'],['sit'],['sit'],True
433,433,a person holding a cup of coffee,['hold'],['hold'],['hold'],True
434,434,a person decor cupcakes,[],[],[],True
435,435,a pantry drawer,[],[],[],True
436,436,a tug boat,[],[],[],True
437,437,people playing tennis in a park,['play'],['play'],['play'],True
438,438,a man in a military uniform holding a medal,['hold'],['hold'],['hold'],True
439,439,the library at the old library in london,[],[],[],True
440,440,a man in a canoe in a swamp,[],[],[],True
441,441,blueberries on a wooden cutting board,[],[],[],True
442,442,a couple dancing in a living room,['dance'],['dance'],['dance'],True
443,443,a pig in a cage,[],[],[],True
444,444,a white wolf with orange eyes and a bloody face,[],[],[],True
445,445,a woman holding a spering sp,"['hold', 'spere']","['hold', 'spere']","['hold', 'spere']",True
446,446,a girl in a hoodie,[],[],[],True
447,447,a woman holding a bible,['hold'],['hold'],['hold'],True
448,448,a person holding a pencil and taking a picture,"['hold', 'take']","['hold', 'take']","['hold', 'take']",True
449,449,a girl sitting on a rock by a river,['sit'],['sit'],['sit'],True
450,450,a couple in a hot air balloon flying over a mountain landscape,['fly'],['fly'],['fly'],True
451,451,a poo dog surrounded by pink flowers,['surround'],['surround'],['surround'],True
452,452,a blue skull with a blue jewel in the middle,[],[],[],True
453,453,a jar of honey and a honey dipper,[],[],[],True
454,454,a green metallic bug,[],[],[],True
455,455,a man eating olives in a kitchen,['eat'],['eat'],['eat'],True
456,456,a woman in a mustard mustard mustard mustard mustard mustard mustard mustard mustard mustard mustard mustard,[],[],[],True
457,457,a person in a clown costume,[],[],[],True
458,458,a man wearing a face mask,['wear'],['wear'],['wear'],True
459,459,mushrooms in the forest,[],[],[],True
460,460,a woman with long hair,[],[],[],True
461,461,a chimpan monkey,[],[],[],True
462,462,tea kettles and smiley faces,['face'],['face'],['face'],True
463,463,people in a lobby,[],[],[],True
464,464,a seamless background of slices of fruit,[],[],[],True
465,465,a panda bear in a bamboo forest,[],['bear'],[],False
466,466,a cashier at a cash counter,[],[],[],True
467,467,a girl in a pink dress walking through a bedroom,['walk'],['walk'],['walk'],True
468,468,a man playing a trombone,['play'],['play'],['play'],True
469,469,a woman in a kitchen,[],[],[],True
470,470,a mother reading to her children,['read'],['read'],['read'],True
471,471,a temple in the forest,[],[],[],True
472,472,a pink cherry tree in full bloom,[],[],[],True
473,473,a blue bird perched on a branch,['perch'],['perch'],['perch'],True
474,474,a spaceship flying over a planet,['fly'],['fly'],['fly'],True
475,475,a person and a bear in a forest,[],[],[],True
476,476,a woman sitting on a suitcase,['sit'],['sit'],['sit'],True
477,477,a dragonfly on a stick,[],[],[],True
478,478,christmas stocking and stockings,[],[],[],True
479,479,a redhead woman with a pen,[],[],[],True
480,480,a seam of pizzas,[],[],[],True
481,481,a person grabbing a taco taco taco taco taco taco,['grab'],['grab'],['grab'],True
482,482,a pair of scissors on a pile of money,[],[],[],True
483,483,a person using a tablet,['use'],['use'],['use'],True
484,484,a wooden door in dublin,[],[],[],True
485,485,a basketball player,[],[],[],True
486,486,people in a field,[],[],[],True
487,487,a ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham,[],[],[],True
488,488,beavers in a river,[],[],[],True
489,489,an elephant,[],[],[],True
490,490,a woman in a fish bowl,[],[],[],True
491,491,a wooden sign with arrows pointing to different destinations,['point'],[],['point'],False
492,492,a woman mixing chocolate in a bowl,['mix'],['mix'],['mix'],True
493,493,a closet full of clothes,[],[],[],True
494,494,a gi with a cage,[],[],[],True
495,495,a group of knights riding horses,['ride'],['ride'],['ride'],True
496,496,a woman in a field of red pop flowers,[],[],[],True
497,497,a clay sculpture of a flower arrangement,[],[],[],True
498,498,a fat man in a bathroom,[],[],[],True
499,499,a tuna and a fish in the ocean,[],[],[],True
500,500,a clown,[],[],[],True
501,501,"a movie poster for the film'robert's return ', starring actor robert",['star'],['star'],['star'],True
502,502,an astronaut on the moon,[],[],[],True
