,generated_caption,cap,verbs,objs,n_objs
22,A horse trainer brushes a horse in a stable.,A horse trainer brushes a horse in a stable.,{'brush'},{'brush'},1
23,A florist arranges a bouquet of flowers.,A florist arranges a bouquet of flowers.,{'arrange'},{'arrange'},1
24,A vet examines a large dog at the clinic.,A vet examines a large dog at the clinic.,{'examine'},{'examine'},1
25,A pilot checks the controls in an airplane cockpit.,A pilot checks the controls in an airplane cockpit.,{'check'},{'check'},1
26,A teacher sets up a science experiment in class.,A teacher sets up a science experiment in class.,{'set'},{'set'},1
27,A poet writes in a notebook at a coffee shop.,A poet writes in a notebook at a coffee shop.,{'write'},{'write'},1
28,A nurse administers medication to a patient.,A nurse administers medication to a patient.,{'administer'},{'administer'},1
29,An artist sculpts a statue from marble.,An artist sculpts a statue from marble.,{'sculpt'},{'sculpt'},1
30,A child feeds ducks at a pond.,A child feeds ducks at a pond.,{'feed'},{'feed'},1
31,A seamstress sews a dress in her studio.,A seamstress sews a dress in her studio.,{'sew'},{'sew'},1
32,A librarian shelves books in a quiet library.,A librarian shelves books in a quiet library.,{'shelve'},{'shelve'},1
33,A couple hikes through a dense forest.,A couple hikes through a dense forest.,set(),set(),0
34,A firefighter extinguishes a fire in a building.,A firefighter extinguishes a fire in a building.,{'extinguish'},{'extinguish'},1
35,A climber scales a rocky cliff.,A climber scales a rocky cliff.,{'scale'},{'scale'},1
36,A farmer harvests wheat in a large field.,A farmer harvests wheat in a large field.,{'harvest'},{'harvest'},1
37,A jeweler inspects a diamond through a loupe.,A jeweler inspects a diamond through a loupe.,{'inspect'},{'inspect'},1
38,A teenager rides a bicycle through a park.,A teenager rides a bicycle through a park.,{'ride'},{'ride'},1
39,A tour guide explains the history of an ancient ruin.,A tour guide explains the history of an ancient ruin.,{'explain'},{'explain'},1
40,A priest delivers a sermon in a church.,A priest delivers a sermon in a church.,{'deliver'},{'deliver'},1
41,A golfer swings at a golf ball on a sunny day.,A golfer swings at a golf ball on a sunny day.,{'swing'},{'swing'},1
42,A beekeeper inspects a hive.,A beekeeper inspects a hive.,{'inspect'},{'inspect'},1
43,A tailor measures a man for a suit.,A tailor measures a man for a suit.,{'measure'},{'measure'},1
44,A girl leaps during a dance rehearsal.,A girl leaps during a dance rehearsal.,{'leap'},{'leap'},1
45,A coach shouts instructions during a soccer game.,A coach shouts instructions during a soccer game.,{'shout'},{'shout'},1
46,A soldier crawls under barbed wire during a drill.,A soldier crawls under barbed wire during a drill.,{'crawl'},{'crawl'},1
47,A yoga instructor demonstrates a pose on a beach.,A yoga instructor demonstrates a pose on a beach.,{'demonstrate'},{'demonstrate'},1
48,A driver races a go-kart on a track.,A driver races a go-kart on a track.,{'race'},{'race'},1
49,A street artist performs magic tricks.,A street artist performs magic tricks.,{'perform'},{'perform'},1
50,A monk meditates in a tranquil garden.,A monk meditates in a tranquil garden.,{'meditate'},{'meditate'},1
51,A student builds a model volcano for a science fair.,A student builds a model volcano for a science fair.,{'build'},{'build'},1
52,A bird watcher observes through binoculars.,A bird watcher observes through binoculars.,{'observe'},{'observe'},1
53,A sailor ties knots on a sailing boat.,A sailor ties knots on a sailing boat.,{'tie'},{'tie'},1
54,A mime performs on a crowded street.,A mime performs on a crowded street.,{'perform'},{'perform'},1
55,An archaeologist digs at a site.,An archaeologist digs at a site.,{'dig'},{'dig'},1
56,A bodybuilder lifts weights in a gym.,A bodybuilder lifts weights in a gym.,{'lift'},{'lift'},1
57,A maid cleans a room in a luxury hotel.,A maid cleans a room in a luxury hotel.,{'clean'},{'clean'},1
58,A child swings on a playground.,A child swings on a playground.,{'swing'},{'swing'},1
59,A chef decorates a cake with intricate icing.,A chef decorates a cake with intricate icing.,{'decorate'},{'decorate'},1
60,A skateboarder grinds a rail in an urban setting.,A skateboarder grinds a rail in an urban setting.,{'grind'},{'grind'},1
61,A couple practices salsa in a dance studio.,A couple practices salsa in a dance studio.,{'practice'},{'practice'},1
62,A detective examines a crime scene.,A detective examines a crime scene.,{'examine'},{'examine'},1
63,A drummer plays in a rock band during a concert.,A drummer plays in a rock band during a concert.,{'play'},{'play'},1
64,A barista crafts a latte art.,A barista crafts a latte art.,{'craft'},{'craft'},1
65,A pilot navigates a hot air balloon.,A pilot navigates a hot air balloon.,{'navigate'},{'navigate'},1
66,A lawyer argues a case in a courtroom.,A lawyer argues a case in a courtroom.,{'argue'},{'argue'},1
67,A soccer player scores a goal during a match.,A soccer player scores a goal during a match.,{'score'},{'score'},1
68,A tour guide leads tourists through a museum.,A tour guide leads tourists through a museum.,{'lead'},{'lead'},1
69,A rower glides through early morning mist.,A rower glides through early morning mist.,{'glide'},{'glide'},1
70,A nurse checks a patient's blood pressure.,A nurse checks a patient's blood pressure.,{'check'},{'check'},1
71,A paraglider soars above a mountain landscape.,A paraglider soars above a mountain landscape.,{'soar'},{'soar'},1
72,A janitor mops the floors of a school hallway.,A janitor mops the floors of a school hallway.,{'mop'},{'mop'},1
73,A fisherman nets fish from a boat.,A fisherman nets fish from a boat.,{'net'},{'net'},1
74,A bride and groom kiss on their wedding day.,A bride and groom kiss on their wedding day.,{'kiss'},{'kiss'},1
75,An actor rehearses a scene on stage.,An actor rehearses a scene on stage.,{'rehearse'},{'rehearse'},1
76,A cyclist competes in a road race.,A cyclist competes in a road race.,{'compete'},{'compete'},1
77,A dentist examines a patient's teeth.,A dentist examines a patient's teeth.,{'examine'},{'examine'},1
78,A girl builds a sandcastle at the beach.,A girl builds a sandcastle at the beach.,{'build'},{'build'},1
79,A scientist conducts a chemical experiment in a lab.,A scientist conducts a chemical experiment in a lab.,{'conduct'},{'conduct'},1
80,A magician pulls a rabbit from a hat.,A magician pulls a rabbit from a hat.,{'pull'},{'pull'},1
81,A child colors with crayons at a small table.,A child colors with crayons at a small table.,{'color'},{'color'},1
82,A lifeguard watches over swimmers at the beach.,A lifeguard watches over swimmers at the beach.,{'watch'},{'watch'},1
83,A truck driver navigates a long highway.,A truck driver navigates a long highway.,{'navigate'},{'navigate'},1
84,A conductor leads an orchestra.,A conductor leads an orchestra.,{'lead'},{'lead'},1
85,A bricklayer lays bricks for a new wall.,A bricklayer lays bricks for a new wall.,{'lay'},{'lay'},1
86,A geologist examines rock formations in a canyon.,A geologist examines rock formations in a canyon.,{'examine'},{'examine'},1
87,A dancer performs a contemporary piece in a theater.,A dancer performs a contemporary piece in a theater.,{'perform'},{'perform'},1
88,A chef slices vegetables for a stir-fry.,A chef slices vegetables for a stir-fry.,{'slice'},{'slice'},1
89,A runner completes a marathon.,A runner completes a marathon.,{'complete'},{'complete'},1
90,A pianist performs at a concert hall.,A pianist performs at a concert hall.,{'perform'},{'perform'},1
91,A couple enjoys a romantic boat ride at sunset.,A couple enjoys a romantic boat ride at sunset.,{'enjoy'},{'enjoy'},1
92,A soccer coach instructs young players during practice.,A soccer coach instructs young players during practice.,{'instruct'},{'instruct'},1
93,A judge presides over a court session.,A judge presides over a court session.,{'preside'},{'preside'},1
94,A radio host broadcasts live from a studio.,A radio host broadcasts live from a studio.,{'broadcast'},{'broadcast'},1
95,A makeup artist applies makeup to a model.,A makeup artist applies makeup to a model.,{'apply'},{'apply'},1
96,A construction worker operates a crane at a site.,A construction worker operates a crane at a site.,{'operate'},{'operate'},1
97,A fisherman casts his net at dawn.,A fisherman casts his net at dawn.,{'cast'},{'cast'},1
98,A gymnast practices on a balance beam.,A gymnast practices on a balance beam.,{'practice'},{'practice'},1
99,A dragon meticulously organizes its treasure trove under the moonlit sky.,A dragon meticulously organizes its treasure trove under the moonlit sky.,{'organize'},{'organize'},1
100,A group of enchanted toasters serenade the morning with breakfast songs.,A group of enchanted toasters serenade the morning with breakfast songs.,{'serenade'},{'serenade'},1
101,"Two wizards play a fiery game of chess, casting spells with each move.","Two wizards play a fiery game of chess, casting spells with each move.","{'cast', 'play'}","{'cast', 'play'}",2
102,A talking pumpkin narrates spooky tales to a captivated audience of cats.,A talking pumpkin narrates spooky tales to a captivated audience of cats.,"{'talk', 'captivate', 'narrate'}","{'talk', 'captivate', 'narrate'}",3
103,"A troop of robots dance in the rain, their circuits sparking with joy.","A troop of robots dance in the rain, their circuits sparking with joy.","{'spark', 'dance'}","{'spark', 'dance'}",2
104,"A book flies around a library, choosing readers rather than being chosen.","A book flies around a library, choosing readers rather than being chosen.","{'fly', 'choose'}","{'fly', 'choose'}",2
105,An old wizard teaches young saplings how to bend without breaking in the wind.,An old wizard teaches young saplings how to bend without breaking in the wind.,"{'bend', 'break', 'teach'}","{'bend', 'break', 'teach'}",3
106,"A ghost hosts a cooking show, preparing meals that mysteriously disappear.","A ghost hosts a cooking show, preparing meals that mysteriously disappear.","{'host', 'disappear', 'prepare'}","{'host', 'disappear', 'prepare'}",3
107,"A knight polishes his armor, preparing for a duel with a shadow.","A knight polishes his armor, preparing for a duel with a shadow.","{'prepare', 'polish'}","{'prepare', 'polish'}",2
108,"A pair of aliens build sandcastles on a beach, using telekinesis.","A pair of aliens build sandcastles on a beach, using telekinesis.","{'build', 'use'}","{'build', 'use'}",2
109,A mermaid teaches her dolphin friends to sing in harmony.,A mermaid teaches her dolphin friends to sing in harmony.,"{'sing', 'teach'}","{'sing', 'teach'}",2
110,A cat in a detective hat investigates the mysterious case of the missing yarn.,A cat in a detective hat investigates the mysterious case of the missing yarn.,"{'miss', 'investigate'}","{'miss', 'investigate'}",2
111,A group of fairies paint the autumn leaves with vibrant colors.,A group of fairies paint the autumn leaves with vibrant colors.,{'paint'},{'paint'},1
112,A talking guitar composes a love song for its violin sweetheart.,A talking guitar composes a love song for its violin sweetheart.,"{'talk', 'compose'}","{'talk', 'compose'}",2
113,"A pirate ship races across the ocean, chasing the sunset.","A pirate ship races across the ocean, chasing the sunset.","{'chase', 'race'}","{'chase', 'race'}",2
114,"A group of teddy bears hold a midnight tea party, discussing the stars.","A group of teddy bears hold a midnight tea party, discussing the stars.","{'discuss', 'hold'}","{'discuss', 'hold'}",2
115,A sentient car drives its owner to secret magical destinations.,A sentient car drives its owner to secret magical destinations.,{'drive'},{'drive'},1
116,An ice cream cone juggles different flavored scoops to entertain kids.,An ice cream cone juggles different flavored scoops to entertain kids.,"{'flavor', 'juggle', 'entertain'}","{'flavor', 'juggle', 'entertain'}",3
117,A tree stretches its branches to tuck a nest of birds safely for the night.,A tree stretches its branches to tuck a nest of birds safely for the night.,"{'stretch', 'tuck'}","{'stretch', 'tuck'}",2
118,A group of witches brew a laughter potion for a village festival.,A group of witches brew a laughter potion for a village festival.,{'brew'},{'brew'},1
119,"A wind-up toy soldiers march in a parade, commanding the attention of toy animals.","A wind-up toy soldiers march in a parade, commanding the attention of toy animals.","{'march', 'command', 'wind'}","{'march', 'command', 'wind'}",3
120,A sorceress summons a rainstorm of flowers in a barren land.,A sorceress summons a rainstorm of flowers in a barren land.,{'summon'},{'summon'},1
121,A pair of enchanted boots goes on a solo hike to explore the mountains.,A pair of enchanted boots goes on a solo hike to explore the mountains.,"{'explore', 'go'}","{'explore', 'go'}",2
122,A mischievous monkey styles hair at a jungle salon.,A mischievous monkey styles hair at a jungle salon.,{'style'},{'style'},1
123,"An artist's paintbrush comes to life, painting portraits of its friends.","An artist's paintbrush comes to life, painting portraits of its friends.","{'paint', 'come'}","{'paint', 'come'}",2
124,A phantom pianist performs midnight concerts in an abandoned concert hall.,A phantom pianist performs midnight concerts in an abandoned concert hall.,"{'abandon', 'perform'}","{'abandon', 'perform'}",2
125,"A group of goblins set up a farmers market, selling exotic magical fruits.","A group of goblins set up a farmers market, selling exotic magical fruits.","{'set', 'sell'}","{'set', 'sell'}",2
126,A crystal ball goes on an adventure to find its own future.,A crystal ball goes on an adventure to find its own future.,"{'find', 'go'}","{'find', 'go'}",2
127,An enchanted mirror gives fashion advice to a line of eager shoppers.,An enchanted mirror gives fashion advice to a line of eager shoppers.,{'give'},{'give'},1
128,"A sunflower conducts a choir of bees, humming a sweet melody.","A sunflower conducts a choir of bees, humming a sweet melody.","{'conduct', 'hum'}","{'conduct', 'hum'}",2
129,A vampire hosts a blood-type tasting event at a posh nightclub.,A vampire hosts a blood-type tasting event at a posh nightclub.,{'host'},{'host'},1
130,"A cyclops teaches a photography class, focusing on the art of portraits.","A cyclops teaches a photography class, focusing on the art of portraits.","{'focus', 'teach'}","{'focus', 'teach'}",2
131,A group of penguins throw a snowball dance party at the South Pole.,A group of penguins throw a snowball dance party at the South Pole.,{'throw'},{'throw'},1
132,A genie in a bottle challenges a young boy to a game of riddles.,A genie in a bottle challenges a young boy to a game of riddles.,{'challenge'},{'challenge'},1
133,A talking tree shares ancient stories with a group of campers.,A talking tree shares ancient stories with a group of campers.,"{'talk', 'share'}","{'talk', 'share'}",2
134,A pair of chopsticks choreographs a ballet in a bustling kitchen.,A pair of chopsticks choreographs a ballet in a bustling kitchen.,"{'choreograph', 'bustle'}","{'choreograph', 'bustle'}",2
135,A group of clouds knit a blanket of fog for a chilly city.,A group of clouds knit a blanket of fog for a chilly city.,{'knit'},{'knit'},1
136,"A doughnut rolls away from a bakery, seeking a life of adventure.","A doughnut rolls away from a bakery, seeking a life of adventure.","{'seek', 'roll'}","{'seek', 'roll'}",2
137,"A pair of sneakers run a marathon by themselves, chasing personal bests.","A pair of sneakers run a marathon by themselves, chasing personal bests.","{'chase', 'run'}","{'chase', 'run'}",2
138,A squirrel conducts an orchestra of rustling leaves in the fall.,A squirrel conducts an orchestra of rustling leaves in the fall.,"{'conduct', 'rustle'}","{'conduct', 'rustle'}",2
139,A magical lantern lights up with stories instead of flames.,A magical lantern lights up with stories instead of flames.,{'light'},{'light'},1
140,A snowman builds himself a friend to keep company during the winter.,A snowman builds himself a friend to keep company during the winter.,"{'keep', 'build'}","{'build', 'keep'}",2
141,A group of trolls organize a rock-sculpting contest in their cave.,A group of trolls organize a rock-sculpting contest in their cave.,"{'sculpt', 'organize'}","{'sculpt', 'organize'}",2
142,"A set of twins explore parallel universes, meeting different versions of themselves.","A set of twins explore parallel universes, meeting different versions of themselves.","{'meet', 'explore'}","{'meet', 'explore'}",2
143,An owl and a cat debate philosophy on a moonlit rooftop.,An owl and a cat debate philosophy on a moonlit rooftop.,{'debate'},{'debate'},1
144,A set of ancient armor goes on a quest to find its rightful heir.,A set of ancient armor goes on a quest to find its rightful heir.,"{'find', 'go'}","{'find', 'go'}",2
145,A circus of ghost performers dazzles the audience with ethereal tricks.,A circus of ghost performers dazzles the audience with ethereal tricks.,{'dazzle'},{'dazzle'},1
146,A trio of dragons start a flying school for ambitious knights.,A trio of dragons start a flying school for ambitious knights.,{'start'},{'start'},1
147,A talking pen writes love letters between long-distance lovers.,A talking pen writes love letters between long-distance lovers.,"{'write', 'talk'}","{'write', 'talk'}",2
148,A group of kids discover a secret garden where the plants can sing.,A group of kids discover a secret garden where the plants can sing.,"{'sing', 'discover'}","{'sing', 'discover'}",2
149,A jellyfish teaches an octopus how to glow in the dark.,A jellyfish teaches an octopus how to glow in the dark.,"{'glow', 'teach'}","{'glow', 'teach'}",2
150,A basket of fruit stages a play about escaping from the supermarket.,A basket of fruit stages a play about escaping from the supermarket.,"{'escape', 'stage'}","{'escape', 'stage'}",2
151,A pair of enchanted gloves performs puppet shows for delighted children.,A pair of enchanted gloves performs puppet shows for delighted children.,{'perform'},{'perform'},1
152,A raccoon with a map leads a group of adventurers to a hidden treasure.,A raccoon with a map leads a group of adventurers to a hidden treasure.,"{'lead', 'hide'}","{'lead', 'hide'}",2
153,A haunted house sets up its own scare school for aspiring ghosts.,A haunted house sets up its own scare school for aspiring ghosts.,"{'set', 'aspire'}","{'set', 'aspire'}",2
154,A group of fireflies choreograph a light show for a summer night's festival.,A group of fireflies choreograph a light show for a summer night's festival.,{'choreograph'},{'choreograph'},1
155,"A magic carpet races the wind, touring exotic lands above the clouds.","A magic carpet races the wind, touring exotic lands above the clouds.","{'tour', 'race'}","{'tour', 'race'}",2
156,A colony of ants builds a replica of their city out of pebbles and twigs.,A colony of ants builds a replica of their city out of pebbles and twigs.,{'build'},{'build'},1
157,A set of kitchen knives throw a gourmet cooking party.,A set of kitchen knives throw a gourmet cooking party.,{'throw'},{'throw'},1
158,A group of dinosaurs recreate a prehistoric musical in a modern park.,A group of dinosaurs recreate a prehistoric musical in a modern park.,{'recreate'},{'recreate'},1
159,A star falls to earth to grant the wishes of a lonely child.,A star falls to earth to grant the wishes of a lonely child.,"{'grant', 'fall'}","{'grant', 'fall'}",2
160,A gnome architect designs luxury homes for garden creatures.,A gnome architect designs luxury homes for garden creatures.,{'design'},{'design'},1
161,A baby kraken learns to create whirlpools under the watchful eyes of its parent.,A baby kraken learns to create whirlpools under the watchful eyes of its parent.,"{'learn', 'create'}","{'learn', 'create'}",2
162,A group of enchanted musical instruments put on a symphony in the woods.,A group of enchanted musical instruments put on a symphony in the woods.,{'put'},{'put'},1
163,A painting escapes its frame to join a group of tourists exploring the museum.,A painting escapes its frame to join a group of tourists exploring the museum.,"{'explore', 'join', 'escape'}","{'explore', 'join', 'escape'}",3
164,A group of mummies organize a wrap-dancing competition in their tomb.,A group of mummies organize a wrap-dancing competition in their tomb.,"{'dance', 'organize'}","{'dance', 'organize'}",2
165,A spyglass reveals hidden magical worlds to anyone who looks through it.,A spyglass reveals hidden magical worlds to anyone who looks through it.,"{'look', 'hide', 'reveal'}","{'hide', 'look', 'reveal'}",3
166,A chocolate bar tries different wrappers to see which color suits it best.,A chocolate bar tries different wrappers to see which color suits it best.,"{'try', 'suit', 'see'}","{'try', 'suit', 'see'}",3
167,A pair of fairytale books recount their adventures to a group of eager children.,A pair of fairytale books recount their adventures to a group of eager children.,{'recount'},{'recount'},1
168,A young witch practices her flying spells with a broomstick.,A young witch practices her flying spells with a broomstick.,{'practice'},{'practice'},1
169,A group of pixies paint the wings of butterflies to help them camouflage.,A group of pixies paint the wings of butterflies to help them camouflage.,"{'paint', 'camouflage', 'help'}","{'paint', 'camouflage', 'help'}",3
170,"A lonely ghost befriends its reflection in an old, dusty mirror.","A lonely ghost befriends its reflection in an old, dusty mirror.",{'befriend'},{'befriend'},1
171,A bouquet of talking flowers gives relationship advice to couples in the park.,A bouquet of talking flowers gives relationship advice to couples in the park.,"{'talk', 'give'}","{'talk', 'give'}",2
172,A group of vampires open a night school for nocturnal creatures.,A group of vampires open a night school for nocturnal creatures.,{'open'},{'open'},1
173,"A band of pirate cats sail the seven seas, searching for legendary fish.","A band of pirate cats sail the seven seas, searching for legendary fish.","{'sail', 'search'}","{'sail', 'search'}",2
174,A wise old elephant paints abstract art with its trunk.,A wise old elephant paints abstract art with its trunk.,{'paint'},{'paint'},1
175,A werewolf teaches a dance class on the full moon nights.,A werewolf teaches a dance class on the full moon nights.,{'teach'},{'teach'},1
176,A group of talking hats try on different heads to see which fits best.,A group of talking hats try on different heads to see which fits best.,"{'try', 'talk', 'fit', 'see'}","{'try', 'see', 'talk', 'fit'}",4
177,A superhero cape trains a young boy in the art of heroism.,A superhero cape trains a young boy in the art of heroism.,{'train'},{'train'},1
178,A group of teddy bears build a cozy fort out of books and blankets.,A group of teddy bears build a cozy fort out of books and blankets.,{'build'},{'build'},1
179,A talking compass gives motivational speeches to lost travelers.,A talking compass gives motivational speeches to lost travelers.,"{'lose', 'talk', 'give'}","{'lose', 'talk', 'give'}",3
180,A group of owls start a late-night book club in the treetops.,A group of owls start a late-night book club in the treetops.,{'start'},{'start'},1
181,A magic wand loses its magic and goes on a quest to regain it.,A magic wand loses its magic and goes on a quest to regain it.,"{'lose', 'regain', 'go'}","{'lose', 'regain', 'go'}",3
182,A pair of binoculars scouts out locations for a perfect romantic date.,A pair of binoculars scouts out locations for a perfect romantic date.,{'scout'},{'scout'},1
183,A chameleon changes costumes at a fashion show to match the backgrounds.,A chameleon changes costumes at a fashion show to match the backgrounds.,"{'change', 'match'}","{'change', 'match'}",2
184,"A colony of bees organizes a honey festival, inviting all the forest creatures.","A colony of bees organizes a honey festival, inviting all the forest creatures.","{'invite', 'organize'}","{'invite', 'organize'}",2
185,"A talking cake teaches a cooking class, sharing its best baking secrets.","A talking cake teaches a cooking class, sharing its best baking secrets.","{'talk', 'teach', 'share'}","{'talk', 'teach', 'share'}",3
186,"A group of ghostly sailors navigate the seas, searching for the edge of the world.","A group of ghostly sailors navigate the seas, searching for the edge of the world.","{'navigate', 'search'}","{'navigate', 'search'}",2
187,"A pair of kites fall in love, tangling strings as they dance in the wind.","A pair of kites fall in love, tangling strings as they dance in the wind.","{'dance', 'tangle', 'fall'}","{'tangle', 'dance', 'fall'}",3
188,A group of stones rehearse a rock opera in a quiet meadow.,A group of stones rehearse a rock opera in a quiet meadow.,{'rehearse'},{'rehearse'},1
189,A bouquet of balloons floats away on an adventure to see the world from above.,A bouquet of balloons floats away on an adventure to see the world from above.,"{'see', 'float'}","{'see', 'float'}",2
190,A group of scarecrows hold a fashion show to display their unique styles.,A group of scarecrows hold a fashion show to display their unique styles.,"{'display', 'hold'}","{'display', 'hold'}",2
191,"A pair of acorns grow into towering oaks, watching centuries unfold.","A pair of acorns grow into towering oaks, watching centuries unfold.","{'unfold', 'watch', 'grow'}","{'unfold', 'watch', 'grow'}",3
192,"A bookworm starts a library in a tiny, forgotten nook of a busy city.","A bookworm starts a library in a tiny, forgotten nook of a busy city.",{'start'},{'start'},1
193,"A scarecrow travels the world, learning dances from different cultures.","A scarecrow travels the world, learning dances from different cultures.","{'learn', 'travel'}","{'learn', 'travel'}",2
194,A magic mirror offers glimpses of alternate realities to curious onlookers.,A magic mirror offers glimpses of alternate realities to curious onlookers.,{'offer'},{'offer'},1
195,A group of animated chess pieces stage a revolt against the board game's rules.,A group of animated chess pieces stage a revolt against the board game's rules.,"{'stage', 'animate'}","{'animate', 'stage'}",2
196,A young phoenix learns how to reignite itself under the watchful eye of its elders.,A young phoenix learns how to reignite itself under the watchful eye of its elders.,"{'learn', 'reignite'}","{'learn', 'reignite'}",2
197,A wandering cloud collects stories from the lands it passes over.,A wandering cloud collects stories from the lands it passes over.,"{'collect', 'pass', 'wander'}","{'collect', 'pass', 'wander'}",3
198,"A group of shadows play hide and seek in the twilight, blending into the landscape.","A group of shadows play hide and seek in the twilight, blending into the landscape.","{'blend', 'seek', 'play'}","{'blend', 'seek', 'play'}",3
199,A group of enchanted spoons stir up a magical soup that grants wishes.,A group of enchanted spoons stir up a magical soup that grants wishes.,"{'grant', 'stir'}","{'grant', 'stir'}",2
200,"A family of pebbles skip across a lake, trying to reach the other side.","A family of pebbles skip across a lake, trying to reach the other side.","{'try', 'reach', 'skip'}","{'try', 'reach', 'skip'}",3
201,A pack of werewolves start a nighttime marathon under the full moon.,A pack of werewolves start a nighttime marathon under the full moon.,{'start'},{'start'},1
202,A group of paper planes hold a conference in the sky to discuss flight patterns.,A group of paper planes hold a conference in the sky to discuss flight patterns.,"{'discuss', 'hold'}","{'discuss', 'hold'}",2
203,A wizard's hat conducts an orchestra of magical instruments in an enchanted forest.,A wizard's hat conducts an orchestra of magical instruments in an enchanted forest.,{'conduct'},{'conduct'},1
204,A pair of old boots embark on a nostalgic journey to revisit their past adventures.,A pair of old boots embark on a nostalgic journey to revisit their past adventures.,"{'embark', 'revisit'}","{'embark', 'revisit'}",2
205,A colony of ants builds a miniature city complete with roads and bridges.,A colony of ants builds a miniature city complete with roads and bridges.,{'build'},{'build'},1
206,A pair of glasses discovers they can see into the future and narrates tales of tomorrow.,A pair of glasses discovers they can see into the future and narrates tales of tomorrow.,"{'see', 'discover', 'narrate'}","{'see', 'discover', 'narrate'}",3
207,A bouquet of wildflowers performs a ballet in the breeze.,A bouquet of wildflowers performs a ballet in the breeze.,{'perform'},{'perform'},1
208,"A suitcase travels the world, collecting stickers and stories from each destination.","A suitcase travels the world, collecting stickers and stories from each destination.","{'collect', 'travel'}","{'collect', 'travel'}",2
209,"A group of candles throw a light festival, each one showcasing different flames.","A group of candles throw a light festival, each one showcasing different flames.","{'throw', 'showcase'}","{'throw', 'showcase'}",2
210,"A spider weaves a web of tales, enchanting insects that come to visit.","A spider weaves a web of tales, enchanting insects that come to visit.","{'come', 'weave', 'visit'}","{'weave', 'visit', 'come'}",3
211,A group of leaves choreograph a dance to celebrate the arrival of fall.,A group of leaves choreograph a dance to celebrate the arrival of fall.,"{'choreograph', 'celebrate'}","{'choreograph', 'celebrate'}",2
212,A teapot brews a magical tea that tells stories from distant lands.,A teapot brews a magical tea that tells stories from distant lands.,"{'brew', 'tell'}","{'brew', 'tell'}",2
213,A group of stars rearrange themselves to create new constellations for astronomers.,A group of stars rearrange themselves to create new constellations for astronomers.,"{'create', 'rearrange'}","{'create', 'rearrange'}",2
214,A collection of musical notes escape from a score to play hide and seek.,A collection of musical notes escape from a score to play hide and seek.,"{'hide', 'seek', 'play', 'escape'}","{'seek', 'hide', 'escape', 'play'}",4
215,"A group of old library books start a secret book club, discussing readers they've had.","A group of old library books start a secret book club, discussing readers they've had.","{'discuss', 'start', 'have'}","{'discuss', 'start', 'have'}",3
216,A magical staff guides a young adventurer through a labyrinth of myths.,A magical staff guides a young adventurer through a labyrinth of myths.,{'guide'},{'guide'},1
217,"A pair of mittens warm the hands of lovers, knitting their stories together.","A pair of mittens warm the hands of lovers, knitting their stories together.","{'warm', 'knit'}","{'warm', 'knit'}",2
218,"A sunbeam lights up a dark room, bringing warmth and hope to those inside.","A sunbeam lights up a dark room, bringing warmth and hope to those inside.","{'light', 'bring'}","{'light', 'bring'}",2
